,rewards,discount,learning rate
122,-172.155834803277,0.995,0.15
123,-326.59183978948545,0.995,0.15
124,-135.74889271202667,0.995,0.15
125,-209.485166368443,0.995,0.15
126,-95.71531979802455,0.995,0.15
127,2.1961517474701537,0.995,0.15
128,-323.96824982312177,0.995,0.15
129,-137.0682317971108,0.995,0.15
130,-130.8806986029681,0.995,0.15
131,-237.42228423371324,0.995,0.15
132,-370.484241483816,0.995,0.15
133,-248.90539017389455,0.995,0.15
134,-272.83188797268065,0.995,0.15
135,-105.57088905895168,0.995,0.15
136,-114.21530403845239,0.995,0.15
137,-2.899400119607421,0.995,0.15
138,-201.1592943160555,0.995,0.15
139,-307.0613609456055,0.995,0.15
140,-232.73230817695358,0.995,0.15
141,-135.08919404351792,0.995,0.15
142,-171.229362792838,0.995,0.15
143,-138.7816933215962,0.995,0.15
144,-126.29669265506293,0.995,0.15
145,-150.35556523979497,0.995,0.15
146,-171.06510580838864,0.995,0.15
147,-173.79049162573813,0.995,0.15
148,-75.26531575699559,0.995,0.15
149,-131.0367160586233,0.995,0.15
150,-112.53467703768752,0.995,0.15
151,-86.87880254099325,0.995,0.15
152,-228.52095884511658,0.995,0.15
153,-383.26078435562215,0.995,0.15
154,-96.82504906110486,0.995,0.15
155,-220.95047898768541,0.995,0.15
156,-217.13611394467733,0.995,0.15
157,-189.8402265980696,0.995,0.15
158,-226.26826535334942,0.995,0.15
159,-339.4540343937083,0.995,0.15
160,-423.2198777152713,0.995,0.15
161,-278.0575274396622,0.995,0.15
162,-251.62783043235234,0.995,0.15
163,-357.5921411857198,0.995,0.15
164,-201.26606972370695,0.995,0.15
165,-116.32391512093501,0.995,0.15
166,-58.32140379097886,0.995,0.15
167,-69.24406733089263,0.995,0.15
168,-222.16342768499635,0.995,0.15
169,-305.0242943002721,0.995,0.15
170,-83.74888193254057,0.995,0.15
171,-70.96727448487145,0.995,0.15
172,1.7030146602444916,0.995,0.15
173,-303.56506676951307,0.995,0.15
174,-191.7491307137351,0.995,0.15
175,-98.95427038645516,0.995,0.15
176,-90.26666377111071,0.995,0.15
177,-106.62611968645582,0.995,0.15
178,-354.5623553018943,0.995,0.15
179,-345.62254780614387,0.995,0.15
180,-136.1132484137051,0.995,0.15
181,-311.619189439989,0.995,0.15
182,-98.90769555781885,0.995,0.15
183,-106.59043453181582,0.995,0.15
184,-119.40727218298846,0.995,0.15
185,-168.13144120269237,0.995,0.15
186,-186.5724398377164,0.995,0.15
187,-223.27187473737493,0.995,0.15
188,-3.913259038514795,0.995,0.15
189,-166.89310706111428,0.995,0.15
190,-125.89349224572123,0.995,0.15
191,-422.625902021293,0.995,0.15
192,-125.25990347851479,0.995,0.15
193,-386.7328405262031,0.995,0.15
194,37.82083318581891,0.995,0.15
195,-71.75947678896011,0.995,0.15
196,-405.57257497036187,0.995,0.15
197,-107.52083103443915,0.995,0.15
198,-376.34934791262356,0.995,0.15
199,-95.91730144259998,0.995,0.15
200,-126.85784927121573,0.995,0.15
201,-185.10823542492471,0.995,0.15
202,-147.6942542922086,0.995,0.15
203,-82.2342857198766,0.995,0.15
204,-137.44259240057283,0.995,0.15
